Duration (in seconds),RecordedDate,ResponseId,App-Func,Product-Pers,Adv-Marketing,Analytics,Att-Enact,Att-Enact-Explain,Changes-Explain,State,Law-Awareness,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Law,AppCategory,AppName
273,4/18/25 9:16,R_1e7aucnVEc4JA4N,"2,10,12,13,15,16,18","13,15","3,4,5,6","8,22",1,I believe that it is absolutely necessary for people to be protected online. There are too many scammers out there and you can never be too safe.,"If anything, I think they will start to decrease the amount of information needed for most of these websites or apps.",North carolina,21,3,1,,2,1,,5,,652ec349c589a18943280477,67fecb3ede31a76593440504,680279c11e02712822d0daf7,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
289,4/18/25 9:17,R_7w9JiNYtqkE0NjP,"1,2,7,10,12","1,2,3,4,5,6,7,8,10,12","2,3,4,7","1,2,3,4,6,7,8,10,12,20,22,23,25",2,"With the advent of AI it can predict all personal aspects of our lives based on a small amount of data, dangerous in the coming years.",They may alter some of the aspects such as looking at web history and personal biometric data and location.,West Virginia,,4,1,,2,1,,2,,67cc63a3a8d24ad74be65272,67fecb3ede31a76593440504,680279dcb4b06c38c2c45f63,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
181,4/18/25 9:17,R_5ONxj9pJXJQ3pfj,,,"1,3,17,20,21",,2,I do not want others that I have not given to receive my information,"Not exactly sure, maybe more secure information.",New York,,2,2,,2,1,,5,,677c133f0ad781c302898624,67fecb3ede31a76593440504,68027a43c880d2f342743dab,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
227,4/18/25 9:17,R_5594zAWeWJwM2hb,"2,13,20,22","2,7,10,12,13,22,23","2,7,10,12,13,20,21,22,23","2,20,21",2,I think it is reasonable that they get this information for the app to perform as well as it should ,I think making is anonymous would help but usually it already is,MT,,2,1,,2,1,,5,,65f908e8f201b532e6cebc0f,67fecb3ede31a76593440504,68027a3ca5151a473909f815,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
298,4/18/25 9:17,R_37TdOO8ntZIzSN8,"1,2,10,12,13,17,20,22,23","1,2,7,12,17,20,21,22,23","12,13,17,20,21,22,23","1,22,23",3,Many details to be considered. There are many pros/cons that must be weighed.,Depends on the regime under which the app is operating.,Louisiana,5,4,1,,2,1,,5,,675849848f0cf4eebe7cbfc7,67fecb3ede31a76593440504,680279f65e268876141ae0d4,Procedural,to a purpose they disclose to the consumer.,game,Roblox
338,4/18/25 9:17,R_6V3vLMaHNMpBsNr,"2,20,23","2,12,13,20,21","7,12,13,20,21","2,20,21,22,23",1,It would be helpful to prevent companies gathering unnecessary data without a good reason for it.,Being forthcoming about what they collect and the reasons for it. Maybe extra development to have to limit what they collect to the different reasons they're collecting it and not just taking it all because it is easier.,Pennsylvania,5,2,1,,2,1,,3,,63bc819194ca25a555eb8fb5,67fecb3ede31a76593440504,680279c883d966121513c317,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
238,4/18/25 9:17,R_5WRJ3qDV5uiG3Ml,"1,3,4,7,12,13,18,19","1,7,12,13,14","1,7,14","1,7,12,13,19,20,22,23",1,"Companies are collecting too much personal information about us. Every time I search, make a purchase, or even verbalize a possible purchase, I see it on my computer for days. ",Stop placing tracking cookies and following people around the internet.,Minnesota,,4,2,,2,1,,6,,65031f68de6e940396216f8a,67fecb3ede31a76593440504,68027a381aa8e60e04524896,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
225,4/18/25 9:17,R_1TnKowYWOIxFWtz,"6,17,18,22","7,20,21,23","13,20,21,23","6,17,18",2,I feel like companies should not have access to all of our data. We should be able to pick and choose what types they’re able to receive on certain applications.,let users choose which types of data they want to share and for which apps,Texas,,1,1,,1,1,,6,,666f9b23519a8d810a4c5b8a,67fecb3ede31a76593440504,68027a42cd0a07b634f01b8b,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
224,4/18/25 9:17,R_5viVH1V22FBJb8X,"13,17,20,21,23","13,17,20,21,23","13,17,20,21,23","13,17,21,23",2,I think that when you go on a website or app it shouldn't steal all your information ,The user should always decide what they want to share,Il,5,3,2,,1,6,,3,,60fe3a34f7f4d5e48ad56af2,67fecb3ede31a76593440504,68027a46ac35313d3ca6aa95,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
226,4/18/25 9:18,R_5k1vEHjOJoiI0r4,"1,4,17,20,21,23","1,4,12,13,17,18,20,21,23","1,17,18,19,20,21,23","1,4,17,18,20,21,23",2,Apps shouldn't have access to everything.,A lot. It depends on the app.,Michigan,"9,15,43",3,2,,2,2,,3,,5e39068e0e532411b2adaa7b,67fecb3ede31a76593440504,68027a5a2b04f4094c0db8f4,Procedural,to a purpose they disclose to the consumer.,game,Roblox
190,4/18/25 9:18,R_62Q6ayCAT42qdpE,"20,23","12,13,14","1,3,5,7,12,13,14,23,25","1,3,4,5,10,14,18,19,20,21",2,I feel that collecting too much personal data violates a users agency and freedom,,South Carolina,,2,2,,2,1,,2,,5de8734b44b3127e513ae247,67fecb3ede31a76593440504,68027a83c46810f66f2708a3,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
245,4/18/25 9:18,R_7ESBSyn0yMs4Mb7,"3,4,5,6",12,21,,1,The amount of data currently collected about individuals is more than necessary. ,They will have to change the app's back end so that it does not collect as much information as it had been. ,Alabama,,4,2,,2,1,,2,,66e4ef42a321cf28dda09db2,67fecb3ede31a76593440504,68027a59a80ed8c405ca9e4c,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
406,4/18/25 9:18,R_3gNTs5b6bwgUgz6,"1,16,17,18","17,20,23",,22,1,personal data shouldn't be kept,change storing personal data,Oklahoma,36,2,1,,2,1,,3,,5d8a29c082fec30001d9c24a,67fecb3ede31a76593440504,680279bf46f001f1bb7923c7,Procedural,to a purpose they disclose to the consumer.,game,Roblox
385,4/18/25 9:18,R_31c5sUSh2QZNnhH,"3,5,6,8,10,18","13,20,21","12,13,21","20,22,23",2,There is no reason for companies to have more info than is necessary ,Limit certain access abilities ,Illinois,,5,2,,2,1,,5,,67d4ab2b6bcf2affcb4d66ec,67fecb3ede31a76593440504,680279d69d858031bb63c861,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
280,4/18/25 9:18,R_5N8KYXFPvO0aLbK,"16,20,22,23",21,21,"16,22,23",1,Companies have become to comfortable collecting everything they can on a user and this needs to change.,They will have to change the amount of data they collect on each individual and how they store it.,California,,2,2,,2,1,,2,,5ecb0bb39b4189656f60872b,67fecb3ede31a76593440504,68027a466890500e7c78a131,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
280,4/18/25 9:18,R_5jZhkB1rIJ1QSXv,22,"1,3,4,12,13,18","13,14","12,13,14",2,I feel that the data should be protected and not sold to other parties,I feel that they would have to implement something that makes it safe for users ,michigan,22,3,2,,2,1,,6,,663a5c64393c1e7e094eba22,67fecb3ede31a76593440504,68027a4450035c567f30bab3,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
214,4/18/25 9:18,R_6GeWCJSj2ki57EN,"20,23",,21,"20,23",1,I think companies shouldn't have the right to obtain and use my personal information.,Stop harvesting their users' data.,Ohio,35,4,2,,2,1,,3,,66293a97afaf09c613477f83,67fecb3ede31a76593440504,68027a6eb669491e54ca04a8,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
207,4/18/25 9:18,R_11aQ24nP6ajviqa,"7,20,22,23","7,8,12,13,18,20,21,25","7,12,13,18,20,21,22,23","7,13,20,21,22,23,25",1,companies have been reckless with consumer data,"ask for opt in
collect less info",Alabama,"5,13",3,2,,2,1,,2,,5654ddab04212700104a1e15,67fecb3ede31a76593440504,68027a927eeffb61e4b92043,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
324,4/18/25 9:19,R_7KSzkh8V8lXy2Jw,"1,3,4,6,10,12,13,18,22,23","1,7,10,12,13,14,18,22,23","7,10,12,13,14,17,20,21,22,23","2,13,14,20,21,22,23",2,I'm in favor of limiting what data can be collected so companies can't see my political views and discriminate against me. ,They won't be able to see people's private photos or text messages anymore.,California,22,4,1,,1,1,,3,,650e75a7fc16660ec5fca2c6,67fecb3ede31a76593440504,68027a25fc5dfa061ae68249,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
223,4/18/25 9:19,R_6Du6HqlrTbwzFCf,23,20,17,,1,I just don’t find it necessary to collect so much information for a game. ,They’d have to remove a lot of things in the games that keep track of personal information. ,California,,1,2,,1,6,Hispanic,3,,66ceb2c1386d481586b66854,67fecb3ede31a76593440504,68027a895912b1136dc1a82f,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
295,4/18/25 9:19,R_5ii6hq3CWDV87iF,"1,4,7,12","13,17,20","13,21","18,20,22,23",1,I hate when apps get installed on my phone and my phone has a never ending list of things it wants access too that it has no need to,"Absolutely none, since they all do it and make more money off of the targeted ads",MT,,2,1,,2,1,,5,,572d05c688902e00091e4a2c,67fecb3ede31a76593440504,68027a45d0f30cb2dc47330a,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
238,4/18/25 9:19,R_5e3ZwjUMMhFtMkI,"1,17,20,22,23","3,4,13,14,17,20,21","3,4,6,12,13,21","3,12,13,14,17,20,21",2,It would protect privacy better,They would have to collect less data,New York,32,4,1,,2,1,,2,,63fb4b7f05faed13656528f0,67fecb3ede31a76593440504,68027a64b59aeefe5a085ca3,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
294,4/18/25 9:19,R_5Vtfon1BeayVQM9,"1,2,17,18,20,22,23","1,7,17,20,21","1,2,7,10,12,13,14,17,20,21","1,7,12,13,17,18,20,21,22,23",1,"Especially if it targets children, there needs to be clear limitation on what information is collected","Follow legal and ethical guidelines, particularly as they relate to minors",Virginia,,2,1,,2,"1,2",,1,,6782fb88cf758d7aa077f2cf,67fecb3ede31a76593440504,68027a5205fb94044423c4c9,Procedural,to a purpose they disclose to the consumer.,game,Roblox
292,4/18/25 9:19,R_72K15g3yOJsUlM5,"20,22,23","13,22,23","13,14,15,16,20,21,23","1,3,4,7,18,19",3,I do not like the personal sharing of data ,They can change the data provide and requested ,Mississippi,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",2,1,,2,2,,2,,6781c04bb4d02ad68a57e4ae,67fecb3ede31a76593440504,68027a55358a383e7618fc6e,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
419,4/18/25 9:19,R_6kRENpIjwWyHK1J,"4,5,6,15,19,21","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,26","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,25","2,3,4,5,6,15,20",1,"These types of data are directly tied to making the user experience better by suggesting relevant videos. Collecting highly sensitive information (like contacts, precise GPS location, or biometric data) would not be proportionate for personalization purposes and would go beyond what is necessary.

","App developers will need to reduce the types of data they collect to only what is essential for personalization. They might need to stop collecting unrelated or excessive personal data, adjust privacy policies to be more transparent, and offer users more specific choices about what data is collected. They may also need to design systems that limit background data collection that isn’t necessary for improving recommendations.

",New York,32,2,2,,2,2,,1,,67e9e3e042ade34a31b534a1,67fecb3ede31a76593440504,680279d91eceb7f3108d86f9,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
257,4/18/25 9:19,R_12Q1TbUfky0p6Ks,"1,3,4,6,10,19","1,3,8","1,3,4,5,6,10,19",3,2,I don't think companies need that much information.,I don't know.,PA,,4,2,,2,1,,3,,56169e435c62cf000f822c76,67fecb3ede31a76593440504,68027a6e58590cc468535517,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
295,4/18/25 9:19,R_3GE7N3L1L0AQlNG,"3,4,8,10,15,19","1,2,3,5,6,9","1,4,6,9,15,18","3,4,6,8,10,13",2,"I believe this regulation protects user privacy while still allowing apps to function effectively. It ensures that companies are collecting only what is necessary, which can reduce misuse of data and build trust with users","App developers may need to audit their current data collection practices, remove unnecessary data fields, and adjust backend systems to only collect and store data essential to the app’s core functions (like sending or requesting payments). They may also need to update their privacy policies and obtain more explicit user consent for any data that isn’t obviously required for expected services.",Washington,"1,4,23,31,33",4,2,,2,2,,1,,67ed159e0e587fe1da7c95b2,67fecb3ede31a76593440504,68027a4dc2f69d32e76d0573,California,to a purpose that consumers would reasonably expect.,finance,Venmo
326,4/18/25 9:19,R_3ofWtgIZdn6ptHX,"1,2,4,16,18,19,20,22,23","1,2,4,7,10,12,13,14,15,17,18,19,20,22,23,26","1,2,13,15,17,18,23","1,2,3,4,5,6,8,12,13,16,18,19,20,21,23",1,"I do not wish those that do not need my data, to be able to view it.  That is invasion of privacy, something GOOGLE does 24/7/365",Stop building their data bases with personal information.  It's a simple matter of rewriting code ,New Jersey,,5,1,,2,1,,1,,66d62734985c822b67585824,67fecb3ede31a76593440504,68027a3d2f65e451ed39744e,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
353,4/18/25 9:19,R_590ERMlQAzDMeMF,"13,18,20,22,23","12,13,17,20,21,23","12,13,17,20,21","13,18,20,22,23",1,I believe that companies should collect the minimum amount of personal data necessary for an app to function correctly.,They will have to collect less data from the users.,New Jersey,,5,2,,2,1,,6,,651c1abbc73b6eea8fa97193,67fecb3ede31a76593440504,68027a101e02712822d0db0a,California,to a purpose that consumers would reasonably expect.,finance,Venmo
313,4/18/25 9:19,R_7tkSdUc8a0TTagk,"1,2,3,4",1,21,"18,21,23",3,I can see the purpose for this function but if it's complicated to enact this function then it will probably diminish the use of the app.,None,Michigan,,4,2,,2,2,,5,,677ddae89d388a882530f950,67fecb3ede31a76593440504,68027a4c12f542c9d546036b,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
391,4/18/25 9:19,R_7ieOhrOq0VgTRJf,"1,3,4,5,6,8,10,20,23","12,13","12,13,21","12,13,20",2,"I don't think it is neccessary for all apps to have access to all of our data at all times. I understand that some data can be helpful, but there is no reason for DoorDash to read my emails or for my casual gaming app to know my precise location. Data should be limited to what is necessary for each individual app. ","I think at the very least, as a consumers, we should be able to say what information we are comfortable with apps collecting, similar to cookies in your browser.",Texas,,3,2,,2,1,,2,,65fcdef120c3e7513256ac68,67fecb3ede31a76593440504,68027a02765215f2dd1f7035,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
363,4/18/25 9:19,R_3UYnAE2TdBvoaE3,"2,16,18","2,15,16,17","2,4,17","2,15,17,18",1,data minimization is nice,none,arizona,3,2,1,,2,2,,2,,67e4631ec39e3a7f4861b96d,67fecb3ede31a76593440504,68027a1d87e506bbaad0396b,Procedural,to a purpose they disclose to the consumer.,game,Roblox
388,4/18/25 9:19,R_1XHBCMvBnNuyBgJ,"1,2,3,4,6,15,16,18,19,20","1,2,3,4,6,10,11,12,15,18,19,26","1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,19,21,22,23,24,25","1,2,3,4,5,6,7,8,10,11,12,13,15,16,18,19,21,23,24,26,25",1,"These types of data are directly tied to making the user experience better by suggesting relevant videos. Collecting highly sensitive information (like contacts, precise GPS location, or biometric data) would not be proportionate for personalization purposes and would go beyond what is necessary.

","App developers will need to reduce the types of data they collect to only what is essential for personalization. They might need to stop collecting unrelated or excessive personal data, adjust privacy policies to be more transparent, and offer users more specific choices about what data is collected. They may also need to design systems that limit background data collection that isn’t necessary for improving recommendations.

",New York,32,2,1,,2,2,,1,,672c07a7e4ed661368e89246,67fecb3ede31a76593440504,680279e98de51f6f813f64ed,California,to a purpose that consumers would reasonably expect.,shopping,Walmart
447,4/18/25 9:19,R_1DpfvMCRaBzSxpR,"1,2,3,4,9,10,11,12,13,14,17,18,19,20,21,26","1,2,3,4,9,10,11,17,18,19,20,23","1,3,4,9,10,11,12,13,14,18,19,20,23","1,3,4,10,11,13,14,16,17,18,19,23",2,"It protects privacy, limits unnecessary data collection, and builds consumer trust.","App developers will need to collect only necessary data, justify its use, update privacy policies, and improve access controls to ensure compliance.",California,5,1,2,,2,1,,2,,67c89c36f6bba5057746b014,67fecb3ede31a76593440504,680279d3a9f24f492864ea38,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
349,4/18/25 9:19,R_5hNoITrpow7HMCQ,"18,20,22,23","1,3,4,12,13,14","18,19,23","1,3,4,5,6,8,10,12,13,14,18,19,23",2,TO ENHANCE SAFETYTO THE USER,REDUCE PERSONAL INFORMATION QUESTIONS ,NY,"5,7,43,44,46",3,1,,2,1,,2,,67e1a90e93b0481befc7220d,67fecb3ede31a76593440504,68027a43568f800a4f549b5a,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
418,4/18/25 9:19,R_5t3tZfALUqznhLP,"1,17,18,20,22,23","1,2,3,15,16,17,20,21","2,12,20,21","4,17,18,20,22,23",1,I think it is important for peoples data to be protected so introducing regulation that would minimize the amount of data being collected is a good thing.,App developers might have to remove certain features from apps such as collecting contact information.,California,5,2,2,,1,6,Hispanic,5,,5f2dfc9bcae87215c17d34d4,67fecb3ede31a76593440504,680279d50b2dcde0c3a18fd4,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
351,4/18/25 9:20,R_3jB2ChU3pduwRmI,"2,12,13,14,20,21,23","1,3,5,6,8,11,13,14,18,20,25","8,13,14,21,23","1,5,6,8,10,11,12,13,14,18,20,21,23",2,Data minimization puts power in the hand of users. It will prevent the unauthorized use of one's information.,They have to issue a disclaimer from time to time in form of prompts to request the permission of users to use any of the user's data.,California,5,5,2,,2,1,,1,,67cf5602d9b2b175541effdb,67fecb3ede31a76593440504,68027a4c1a6d6a8021599ac4,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
481,4/18/25 9:20,R_3R10Whq2FW1iYFP,"22,23",25,,"2,22,23",1,because we the people deserve to not sell our data without having a limit to what can be sold ,a hard switch in the apps to limit the use of certain datas ,NC,,2,2,,1,2,,2,,6091ab55ea2e97910519f8e7,67fecb3ede31a76593440504,680279cd8b2d2bb4bcacfa11,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
449,4/18/25 9:20,R_5w7wIXHJE0SILvr,"1,2,20","12,20","5,21","2,18,20,22,23",1,"I do not want apps or companies collecting data on me, except thst which is necessary to respond to my needs as a customer.",Stop collecting marketing info. Stop selling my data to other companies.,New York,,5,1,,2,1,,1,,614e7ad7ff5a0d785d5e550a,67fecb3ede31a76593440504,680279e498169d170eca3921,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
452,4/18/25 9:20,R_5v8ptW4LYqY0Kwp,"1,22,23","1,13","1,8,13,14,21",23,2,"The should be some set limitations on what info companies can and cannot access based on your app usage, just using an app should not give them an open book on you.",Some would have to tighten up the restrictions they have in place depending on the app.,ohio,"5,6",5,1,,2,1,,2,,62ef104b5e9352c2ead31fde,67fecb3ede31a76593440504,680279e5a9961b161da85445,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
304,4/18/25 9:20,R_5HFuE1iWQY5DaFi,"1,2,3,4,5,6,8,12,18","1,12",,"1,2,8",1,It is important to not have your personla info all over the place for security reasons.,The developers will just have to make apps not so invasive.,Oklahoma,36,4,2,,2,"1,3",,2,,677af60d86ffa3b3fd4f7295,67fecb3ede31a76593440504,68027a87a551ad20cbd1cb48,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
381,4/18/25 9:20,R_3lc26uVWQ4R7iMe,"3,4,6,10","12,13","12,13","12,13,21",2,These companies need to be put in their place on what is allowed and not allowed. To many times they take information well out of reach of reasonable.,Limited data farming.,New Hampshire,,4,1,,2,1,,3,,665f930d862dcdc6bfde540e,67fecb3ede31a76593440504,68027a41c5792239631f7b2a,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
359,4/18/25 9:20,R_5zopgbt57ELon7j,"1,3,7,15,16,19","1,15,16,22","11,15,16,17,18,19","10,11,13,17",2,it could be useful to control piracy and enhance data security,increasing passwords and other security checks in their applications,new jersey,"7,32,35,47",4,1,,2,2,,1,,67e72b07c95959cb3f03cb0a,67fecb3ede31a76593440504,68027a4b28837bce53a22b86,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
396,4/18/25 9:20,R_31aQk90reLNGs13,"1,2,3,4,5,6,10,12,13","1,2,3,5,7,8,12,13,14,21","1,3,5,7,8,12,13,20,21,25","1,2,3,7,8,13,20,22,23",2,There is no need for the app to collect any more data than this.  It is an invasion of privacy.,They will probably  just find loopholes to still get all the data they want.,New York,,4,1,,2,1,,2,,6273088a00cf446a9c9cd8f6,67fecb3ede31a76593440504,68027a39f4a4ffdbdf3104dc,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
480,4/18/25 9:20,R_5dFyqEn0LzXnOy9,"20,21,22,23","2,3,4,6,18,22","18,20,21,23","2,18,20,21,22,23",1,I don't think an app like that needs your personal information. that should be on an only need to know basis,Be ask to for the option to save you data or be asked to enter it only as needed.,West Virginia,,4,2,,2,1,,5,,67e57570814ffb2111a0b46d,67fecb3ede31a76593440504,680279dc2a65e59ecf64eb16,California,to a purpose that consumers would reasonably expect.,shopping,Walmart
511,4/18/25 9:20,R_6SG7cgTibOehLsR,"1,3,10,13,14,15,17,18,20,21,23","1,2,3,10,12,13,14,15,16,17,18,20,21,23","1,2,12,14,15,20,21","1,2,16,18,20,22",1,Companies should have to limit the data that they collect from consumers when using their apps.  Too much personal information is currently collected.,"App developers will have to change how much access they have to consumers current personal information like, age, health, address, phone number and content they consume.",Arizona,"9,43",4,2,,2,1,,6,,5e121701dc79bd8a1a22ca99,67fecb3ede31a76593440504,680279ca3afb69d6239f6d9f,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
482,4/18/25 9:20,R_5nrdPrBr0UTs71D,"2,3,4,5,6,8,10,12","3,4,6,7,8,20,21","3,4,6","3,4,5,6,8",5,What would even be beneficial from that? Data is used so much in our day to day lives that it would cause chaos,If that was a real regulation the developers would have make the needed changes,Oklahoma,,3,2,,2,1,,6,,67ad02d9ec860f182d806a90,67fecb3ede31a76593440504,680279e5b5293328c2ae2bb4,Procedural,to a purpose they disclose to the consumer.,food and drink,DoorDash
358,4/18/25 9:20,R_52WSPrrstiPk145,"18,22,23","13,21","13,17","22,23",1,Companies collect too much personal data that could then be hacked or leaked. They risk our security just to crank out ads. ,Stop storing every shred of info and analyzing it to make an extra fraction of a cent.,Texas,"5,32",3,2,,2,1,,5,,65ebc0459e72647fd829c07c,67fecb3ede31a76593440504,68027a5d0de86c845fd788bb,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
486,4/18/25 9:20,R_66gQuJttx6hPau5,"1,2,3,4,5,6,10,13,18","1,2,3,4,5,6,10,13,18,20","2,3,4,6,10,18,23","1,2,3,4,5,6,10,12,18,20,23",2,I think the amount of data collected should remain specific for each situation and the consumer should be made aware of the purpose and intent of the data collected.,The app developers should be transparent about any income they wish to generate with consumer data like advertising. Also they should not try to monopolize the app market in any way and be transparent.,New York,"5,30,32,35,38",4,2,,2,4,,1,,659c4cb7b44bbfadb4a77dff,67fecb3ede31a76593440504,680279de0184836ef9e08fa7,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
